school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M,cc_monophily_F_beta_binom,cc_monophily_M_beta_binom
comm22,290,330,6,287,319,0.47359735973597361,7.9268292682926829,7.9655172413793105,26,30,0.5723076923076923,0.61707988980716255,0.5723076923076923,0.59461104006082066,0.61707988980716233,0.63417052494630566,0.06428195205780435,0.061611547873364494,5.855783669517223e-06,6.594943742221915e-06,0.06086202017199967,0.05776959321367153
comm23,309,369,1,306,360,0.45945945945945948,9.1633986928104569,8.2222222222222214,21,26,0.5320970042796006,0.55675675675675673,0.53209700427283546,0.53822519536898705,0.55675675668833957,0.5658002548729848,0.017153775127403,0.034180659175717845,0.05717819049296302,0.004277101244535064,0.011181332727698324,0.015473829417278737
comm24,450,423,3,441,404,0.52189349112426031,6.970521541950113,7.1435643564356432,20,21,0.57905009759271309,0.55162855162855162,0.57905009759271342,0.58684368003838683,0.55162855155806789,0.56787389898119278,0.028255693765977925,0.05591071418024259,0.01276901956132015,4.8690529310446706e-05,0.023688132981522142,0.04168394220292925
comm25,418,408,2,402,386,0.51015228426395942,6.4651741293532341,6.5155440414507773,23,20,0.56791073489803767,0.55347912524850895,0.56791073489803756,0.57479592719792616,0.55347912524850906,0.56659593360712335,0.022126370003539234,0.060511355229045695,0.051323781664793566,7.973605964373132e-05,0.022237391890369135,0.049186471606544616
comm26,299,260,4,295,252,0.53930530164533819,7.2338983050847459,7.6904761904761907,23,21,0.59325210871602629,0.55211558307533537,0.59325210871602618,0.60448472489736893,0.55211558300301511,0.56680126829889632,0.038004048093545524,0.061398330850347724,0.00885433269376723,0.0001866586973341411,0.028470883055177976,0.04283516498698968
comm27,2,1225,2,2,1148,0.0017391304347826088,3.5,4.3858885017421603,4,17,0.0,0.99860973187686197,2.8910686909760585e-11,2.8910686909760585e-11,0.99860973187516855,0.99782807448544808,0.0,0.5048443374269234,nan,0.0,0.706670244996785,6.296866473784909e-08
comm28,579,580,9,564,563,0.50044365572315885,8.5177304964539005,8.0248667850799293,27,27,0.58368026644462956,0.55732625055334217,0.58368026644462934,0.60282594327228178,0.55732625055334195,0.56960524839727766,0.054132652384170615,0.06053121784044209,3.070603438182218e-09,5.827177074202439e-09,0.05407912124182915,0.04796453681798771
comm29,296,282,0,292,277,0.51318101933216165,8.9657534246575334,8.8447653429602884,24,22,0.58288770053475936,0.55428571428571438,0.58288770053475936,0.59190538401487336,0.55428571421094752,0.56764406866519235,0.026271467592703282,0.05469660370575946,0.009341036695537208,4.094220715400443e-05,0.026228680272603947,0.04152108712653184
comm3,16,16,0,16,16,0.5,4.75,6.625,9,11,0.47368421052631576,0.62264150943396224,0.47368421055047299,0.47368421055047299,0.62264150943396235,0.62269533229748397,0.0,0.00017182244638196234,0.5132770795222577,0.45067725994809005,3.951933143541666e-10,6.057678166025779e-08
comm30,360,381,5,354,359,0.49649368863955118,7.7344632768361583,7.4874651810584956,19,27,0.58144631117604084,0.5736607142857143,0.58144631117604084,0.58144631117604084,0.5736607142857143,0.59108977512000793,0.0,0.0687384370517956,0.6143348854382731,1.1584931165486978e-06,5.2582167520174935e-08,0.058381959254695207
comm31,361,533,6,313,409,0.43351800554016623,5.079872204472843,4.0586797066014668,17,16,0.64654088050314473,0.66144578313253011,0.64654088050314362,0.66646137060845967,0.66144578313252977,0.68370400686046173,0.08574233438756032,0.10075790067919446,0.0002795107956405918,5.625149011545538e-05,0.08370782738028937,0.12490962525136734
comm32,444,429,4,434,415,0.51118963486454649,8.1198156682027651,7.9132530120481928,27,29,0.58683314415436993,0.55663824604141288,0.58683314415436982,0.59371200828057469,0.55663824604141299,0.56741324751727018,0.01844110054368606,0.0390515004046602,0.03278619323380816,0.0006075565657580606,0.02011185654445327,0.029426042091670844
comm33,1127,1109,14,1017,942,0.51914241960183771,5.1386430678466075,4.607218683651805,18,25,0.60964408725602759,0.52995391705069117,0.60964408725602715,0.60964408725602715,0.52995391704939121,0.54530717377263282,0.0,0.10015643093841038,0.8734514069241326,8.070777379742822e-11,3.837130452545055e-08,0.08552681678682306
comm34,896,777,8,863,734,0.54038822792736385,7.2097334878331401,7.0245231607629428,25,23,0.58052073288331729,0.49379363847944141,0.58052073288331729,0.58154807219808469,0.4937936384794645,0.50035432023631443,0.0046858599261596755,0.02666178694302165,0.27901019048657005,0.0038476663632251995,0.0018214794998599976,0.013734110582154176
comm35,476,395,2,469,380,0.55241460541813903,7.4498933901918978,7.3052631578947365,24,29,0.62163709215798513,0.52377521613832856,0.62163709215798479,0.62438467064097547,0.52377521613813838,0.53588041590404611,0.010589591227165894,0.07428174086026515,0.16352018811516356,6.851864453594203e-08,0.00799199787397812,0.06329282477498052
comm36,1091,1085,33,1068,1050,0.50424929178470257,7.631086142322097,7.0495238095238095,29,22,0.57374233128834351,0.53066738719265061,0.57374233128834307,0.57615677748951766,0.53066738719138085,0.53366887033081278,0.0077591578162422405,0.018723035273327564,0.11457620425239046,0.012878112253164486,0.01117091660310843,0.00464635038439031
comm37,274,153,0,230,128,0.64245810055865926,3.7260869565217392,4.1484375,11,14,0.66044340723453909,0.4519774011299435,0.66044340723453865,0.66179053803317056,0.45197740113436263,0.45701878446088273,0.012199523487057124,0.05142939549748275,0.35816843299691037,0.1324811207730846,0.011762734341837475,0.020360194745621053
comm38,272,269,1,265,255,0.50961538461538458,7.4679245283018867,7.3215686274509801,22,35,0.58211217786760994,0.55704338510980178,0.58211217786760983,0.59826500106956704,0.55704338510980156,0.57143856743362964,0.04899008043065205,0.05118515857950724,0.0010542382361374836,0.0011015561624189152,0.04314685898107232,0.04084778951300783
comm39,526,476,6,522,459,0.5321100917431193,8.0287356321839081,7.7363834422657956,27,23,0.59078978764018131,0.51703745423824277,0.59078978764018153,0.59521799689679222,0.51703745423800695,0.52447437460668589,0.01276188679885848,0.04457950008934434,0.08925764222134536,7.489060320220453e-05,0.010496015968057722,0.03193808654206805
comm4,159,132,0,155,126,0.55160142348754448,8.0903225806451609,8.0793650793650791,21,18,0.5757575757575758,0.47740667976424361,0.57575757575757558,0.57575757575757558,0.4774066797645069,0.48051835198010878,0.0,0.014375016358872022,0.6595339199702357,0.25371734693149883,2.865776150824179e-08,1.8959777627344302e-09
comm40,976,1045,16,960,1019,0.48509348155634158,8.7239583333333339,8.2639842983316978,35,33,0.55188059701492531,0.55432846455290352,0.5518805970149252,0.56193589526316357,0.55432846449979767,0.56184859295685918,0.02608905039653392,0.033113979884812295,1.779695347914334e-05,2.023625820357644e-06,0.02610905426281533,0.02410991771099907
comm41,1142,941,17,1129,919,0.55126953125,8.3693534100974318,8.3057671381936888,25,30,0.59710022224574022,0.50124459583387915,0.59710022224574055,0.59710022224574055,0.50124459583387837,0.51393137053658022,0.0,0.04839354464074706,0.6193837790426366,9.36370980753054e-11,5.2882948425438955e-08,0.038109813928604075
comm42,828,665,21,793,595,0.57132564841498557,7.3669609079445149,6.5445378151260503,23,28,0.63608353303663123,0.45403184386235235,0.63608353303663123,0.63838330705121582,0.45403184386254486,0.46980289222963073,0.007913966968467663,0.10383561349874545,0.16843454314013417,5.057065877167588e-13,0.009220062778871614,0.0769035361576983
comm43,890,819,14,859,767,0.52829028290282898,6.4714784633294524,6.2438070404172104,20,20,0.59147328656233134,0.5257882647734391,0.59147328656233111,0.59740044588869101,0.52578826477321128,0.52899217288923928,0.026637419362134793,0.021954861314604175,0.0021545576951028655,0.022719508800247423,0.028456235115564603,0.010664915092497361
comm44,564,576,7,558,562,0.49821428571428572,9.1057347670250888,8.8843416370106763,25,32,0.56170045266679791,0.55397556579210894,0.56170045266679791,0.56306775482205851,0.55397556570248929,0.56417159993737953,0.004581590386001616,0.04721499754218074,0.26427493170691707,5.086374732510279e-08,0.005553837810798717,0.042162017185193454
comm45,508,533,6,466,451,0.50817884405670666,6.1781115879828326,5.6829268292682924,22,33,0.5758944077804794,0.52360515021459231,0.57589440778047929,0.57589440778047929,0.52360515021287035,0.53651889320333435,0.0,0.054948467410272275,0.8216943166273787,0.0009533305625503141,4.181006259669621e-09,0.034951932514086334
comm46,742,800,8,734,777,0.48577101257445399,7.7316076294277929,7.3629343629343627,26,27,0.54061674008810578,0.54431043523859468,0.54061674007376403,0.54564642280043729,0.54431043522030897,0.55212915436402132,0.01573203262032986,0.04240289944244562,0.02473850259474064,3.176813883509766e-06,0.01596858674674423,0.03199715013643514
comm47,486,495,17,481,488,0.49638802889576883,9.2640332640332641,8.4754098360655732,25,23,0.56732495511669656,0.53384912959381048,0.56732495511669667,0.5723371154253003,0.53384912959107511,0.54068317213133177,0.016818651482065326,0.0414952445576064,0.02179484409853183,3.5486553391472775e-05,0.015181170132580805,0.028330395760572596
comm48,588,592,4,580,586,0.49742710120068612,8.6724137931034484,8.3037542662116035,29,23,0.5685884691848907,0.55404849979449244,0.56858846918489059,0.57884531285198482,0.55404849979449244,0.56370410059742149,0.03237477837958092,0.04166673611126816,4.784791837975089e-05,8.486050929290556e-06,0.032733059965932995,0.03098673092812114
comm49,954,966,9,937,931,0.50160599571734477,7.6776947705442904,7.3168635875402792,24,27,0.58993605782596603,0.56694069289489135,0.58993605782596614,0.59486108002768445,0.56694069289489091,0.58703518461199944,0.014663988959071525,0.06753579508330024,0.023107734070425323,4.785061236134425e-14,0.014535215599083355,0.061283079977854926
comm5,76,82,1,76,80,0.48717948717948717,9.6578947368421044,8.9250000000000007,18,21,0.52588555858310626,0.51260504201680668,0.52588555858310593,0.52588555858310593,0.51260504201652013,0.51613763052488026,0.0,0.012548248829536122,0.8778186060288147,0.2925439121202018,9.8600352340175e-09,2.4641344370049735e-08
comm50,1311,1262,14,1301,1225,0.5150435471100554,8.3182167563412754,8.0244897959183668,27,27,0.57678802439475152,0.53407934893184128,0.57678802439475185,0.5804512072534691,0.53407934892524855,0.54313167712783073,0.012172202101129723,0.04122595633703544,0.016566138667728603,1.1728887860940063e-09,0.010122380011721898,0.030281814009471483
comm51,356,407,27,324,336,0.49090909090909091,5.3086419753086416,4.5119047619047619,15,17,0.61395348837209307,0.56200527704485481,0.61395348837209296,0.61395348837209296,0.56200527703040326,0.57854725335022317,0.0,0.11546549901392267,0.5271090338669908,4.908085722377109e-05,7.592776748749689e-06,0.08764000108400219
comm52,1061,726,12,1020,688,0.59718969555035128,5.9725490196078432,6.7587209302325579,17,23,0.61096520026263945,0.49032258064516132,0.61096520026263912,0.61538368075923577,0.4903225806452095,0.49813982887414981,0.0233454895171821,0.046277118943641435,0.009962250685667362,3.115680360554762e-05,0.01643603503215825,0.02608513144442437
comm53,331,306,10,298,270,0.52464788732394363,5.124161073825503,5.3296296296296299,19,21,0.58939096267190572,0.56428075052119531,0.58939096246017364,0.59071017575783968,0.56428075040966452,0.5705416336961755,0.0075001161967287455,0.06451352882541968,0.3594854673869472,0.005280624967863967,8.484801131566737e-08,0.038653192034632466
comm54,593,507,8,560,468,0.54474708171206221,5.8125,5.8696581196581192,29,19,0.6199692780337942,0.54969057153258105,0.6199692780337942,0.6272270684261243,0.54969057151133394,0.55648501461305999,0.02791851713752326,0.06628127977067612,0.017738328876713005,0.00011005743067926677,0.03218606924872989,0.0347199333825483
comm55,188,164,5,180,147,0.55045871559633031,5.0111111111111111,4.5850340136054424,16,15,0.6940133037694014,0.59050445103857563,0.69401330376939163,0.70779829198760702,0.59050445087996217,0.61137500554861568,0.05318466434105263,0.16535455440956948,0.02962758239384622,5.621303348468665e-05,0.07271035858056454,0.14894715017058077
comm56,236,224,7,228,209,0.52173913043478259,6.1535087719298245,6.3588516746411488,16,26,0.61724875267284396,0.59593679458239268,0.61724875267284396,0.62469038558386114,0.59593679458239279,0.62934099824717049,0.02843364702253882,0.10545985926445169,0.08763480094718157,5.143563895915193e-06,0.019487295054600666,0.10260439457973289
comm57,653,620,9,613,558,0.5234842015371477,6.0505709624796085,5.6792114695340503,24,38,0.59261256403343221,0.52319343641527294,0.59261256403343221,0.59834478583743889,0.52319343641464111,0.53710696861189178,0.023728794652686062,0.04482181893255316,0.032995081883747446,0.0006384606203374554,0.01535260525151861,0.041730705928057374
comm58,875,889,14,844,848,0.49881796690307328,6.7713270142180093,6.3573113207547172,23,30,0.59177602799650053,0.56724169912817657,0.59177602799650031,0.60059013870564615,0.56724169912817646,0.57897960386410163,0.030232882122296557,0.04929941573743697,0.0005824614438089126,1.001504015718524e-06,0.03019043331901361,0.04540686044174612
comm59,529,472,6,517,449,0.53519668737060044,7.0870406189555126,6.5790645879732743,19,24,0.62772925764192145,0.53825321597833442,0.62772925764192078,0.63359724295474462,0.53825321595992004,0.5575265953675439,0.022000587784155402,0.07165109754073241,0.027327228747705434,1.2581475653528074e-06,0.019443246655799405,0.05607341178719452
comm6,56,55,0,55,53,0.5092592592592593,7.0,7.0,16,18,0.55584415584415592,0.53908355795148244,0.55584415584415581,0.56738042675703482,0.5390835579494343,0.5390835579494343,0.04554116228595977,0.0,0.11455828682911318,0.9743375529949613,0.026722649161820593,1.244535991838983e-08
comm60,607,603,6,576,546,0.5133689839572193,6.7118055555555554,6.3369963369963367,23,25,0.58923952405587177,0.54104046242774562,0.58923952405587132,0.59149437457170917,0.54104046236348946,0.55652336823395299,0.00801041741484675,0.06403293361367121,0.22873493831640102,1.6111702622056967e-06,0.005411635660241789,0.0531940227406891
comm61,943,942,13,863,832,0.50914454277286136,5.2468134414831979,4.9951923076923075,17,19,0.62941696113074208,0.59624639076034647,0.62941696113074108,0.63937742949086085,0.59624639076034547,0.60543866385968859,0.04853660947465939,0.06487732300049741,3.290771747999077e-05,4.776067070388912e-06,0.056599940827143494,0.052550401249148865
comm62,554,549,8,521,511,0.50484496124031009,5.339731285988484,5.1663405088062619,21,17,0.64557872034507546,0.62651515151515158,0.64557872034507457,0.65737443040157473,0.62651515151515136,0.64882748310729488,0.05487092820597102,0.128481445332551,0.0001265937453912569,5.6701310313655995e-12,0.07008716775272097,0.1323371353785816
comm63,50,48,2,47,47,0.5,5.8936170212765955,5.8936170212765955,15,15,0.57039711191335751,0.57039711191335751,0.5703971119133574,0.5703971119133574,0.57039711189142261,0.57039711189142261,0.0,0.0,0.676901940271478,0.96480567778679,1.1050762174031754e-08,7.857801732151387e-09
comm64,360,348,2,354,338,0.51156069364161849,8.3305084745762716,8.1568047337278102,27,29,0.57646659884706675,0.54697134566557859,0.57646659884706708,0.5819854439388964,0.54697134566557859,0.55731970619377924,0.016847372084841203,0.03648402812919276,0.05565585612325319,0.00478363053009323,0.018205938966139007,0.013014803313335124
comm65,310,251,5,306,246,0.55434782608695654,6.5163398692810457,6.8373983739837394,14,19,0.59378134403209626,0.51843043995243765,0.59378134403209615,0.60147948775440419,0.51843043995242521,0.51995781454574563,0.03500432563830879,0.013408508167675486,0.017214593695164315,0.22116947264973408,0.030410753229982383,9.173244971194504e-08
comm66,317,335,3,314,327,0.48985959438377535,9.0891719745222925,8.7094801223241589,33,23,0.55501051156271897,0.5540730337078652,0.5550105114957592,0.55740973485024137,0.55407303370786509,0.56748540294725314,0.005801415234458772,0.04882004757607595,0.2752061558425678,0.0002036281206547752,0.005939580231940423,0.025074103898517528
