school,k_hop,auc_in_khop_neighborhood,count_0_friends_khop_class1,count_0_friends_khop_class2
comm1,1,0.70523648648648651,0,0
comm1,2,0.41469594594594594,0,0
comm1,3,0.43707770270270269,0,0
comm1,4,0.32601351351351354,0,0
comm1,5,0.30405405405405406,0,0
comm10,1,0.79449615682956065,0,0
comm10,2,0.68214071645159013,0,0
comm10,3,0.69788801918059373,0,0
comm10,4,0.59770114942528729,0,0
comm10,5,0.5820992877794231,0,0
comm11,1,0.73000479501318616,0,0
comm11,2,0.61430112682809879,0,0
comm11,3,0.64478542315991372,0,0
comm11,4,0.58566291057300413,0,0
comm11,5,0.56995924238791651,0,0
comm12,1,0.67576154992548432,0,0
comm12,2,0.55974366616989568,0,0
comm12,3,0.59371087928464972,0,0
comm12,4,0.5397198211624441,0,0
comm12,5,0.54095976154992553,0,0
comm13,1,0.78284889892498,0,0
comm13,2,0.67048810144172322,0,0
comm13,3,0.70408970721633568,0,0
comm13,4,0.59672765522166249,0,0
comm13,5,0.58475672128616374,0,0
comm14,1,0.69624295954941129,0,0
comm14,2,0.57733614951356893,0,0
comm14,3,0.58794162826420893,0,0
comm14,4,0.52421915002560171,0,0
comm14,5,0.48806963645673324,0,0
comm15,1,0.76895736300385265,0,0
comm15,2,0.60985746938071417,0,0
comm15,3,0.67098822666896663,0,0
comm15,4,0.55420907365878902,0,0
comm15,5,0.56262758035765636,0,0
comm16,1,0.69003188169854845,0,0
comm16,2,0.55069529236195902,0,0
comm16,3,0.58615181115181114,0,0
comm16,4,0.51491656491656501,0,0
comm16,5,0.51948853615520285,0,0
comm17,1,0.70248298548404287,0,0
comm17,2,0.55147796104488656,0,0
comm17,3,0.6226493192827538,0,0
comm17,4,0.53726937168555045,0,0
comm17,5,0.55891762815871648,0,0
comm18,1,0.6513227513227513,0,0
comm18,2,0.50750818846056944,0,0
comm18,3,0.53257747543461831,0,0
comm18,4,0.47306626354245401,0,0
comm18,5,0.47649281934996224,0,0
comm19,1,0.68365330321852069,0,0
comm19,2,0.56846414455110117,0,0
comm19,3,0.61814528182814621,0,0
comm19,4,0.54472381838110739,0,0
comm19,5,0.53979141063540037,0,0
comm2,1,0.70179547228727568,0,0
comm2,2,0.55562060889929743,0,0
comm2,3,0.58938329430132708,0,0
comm2,4,0.48087431693989069,0,0
comm2,5,0.48633879781420775,0,0
comm20,1,0.77527310390650961,0,0
comm20,2,0.67754929549940401,0,0
comm20,3,0.70180619882355244,0,0
comm20,4,0.6165552754489847,0,0
comm20,5,0.59436985792734165,0,0
comm21,1,0.80478571428571422,0,0
comm21,2,0.6885,0,0
comm21,3,0.71834285714285706,0,0
comm21,4,0.65831428571428563,0,0
comm21,5,0.65114285714285713,0,0
comm22,1,0.81576245453453189,0,0
comm22,2,0.71308422443830344,0,0
comm22,3,0.70768298144244324,0,0
comm22,4,0.6072493528338776,0,0
comm22,5,0.57007416469149019,0,0
comm23,1,0.72335239651416128,0,0
comm23,2,0.59282407407407411,0,0
comm23,3,0.61483297022512706,0,0
comm23,4,0.53553013798111837,0,0
comm23,5,0.53459513435003636,0,0
comm24,1,0.75188590287600188,0,0
comm24,2,0.64438943894389444,0,0
