school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M,cc_monophily_F_beta_binom,cc_monophily_M_beta_binom
comm1,38,33,0,35,29,0.546875,4.2857142857142856,4.6551724137931032,10,9,0.66000000000000003,0.51851851851851849,0.65999999999999392,0.67834983640639668,0.51851851851449926,0.51851851851449926,0.11910908007609865,0.0,0.09059187140811864,0.5029122680104161,0.11525886239835817,2.2428559346918606e-08
comm10,353,328,4,322,251,0.56195462478184988,5.5310559006211184,4.8406374501992033,10,10,0.66704098820887137,0.54074074074074074,0.6670409882088697,0.6670409882088697,0.54074074074074074,0.55397552742606304,0.0,0.062388363709297116,0.9321016521029344,0.02264353961679455,9.762123154931777e-09,0.013788093395598881
comm11,220,204,2,200,162,0.5524861878453039,4.7699999999999996,4.9567901234567904,10,10,0.60482180293501053,0.53798256537982558,0.60482180269172325,0.60482180269172325,0.53798256536013334,0.53798256536013334,0.0,0.0,0.8413918147409923,0.8219990109465809,2.912293555198999e-09,1.4838425509159853e-10
comm12,276,309,1,265,289,0.47833935018050544,6.3924528301886792,6.2076124567474045,10,10,0.57792207792207795,0.56243032329988851,0.57792207792207795,0.57792207792207795,0.5624303232556318,0.5624303232556318,0.0,0.0,0.9998521736567411,0.9999668728930962,9.172895722018847e-10,4.606567385318623e-09
comm13,354,328,7,304,247,0.55172413793103448,4.8026315789473681,4.5020242914979756,10,10,0.6753424657534246,0.55665467625899279,0.67534246575342138,0.67534246575342138,0.5566546762589929,0.56844500912907348,0.0,0.052692237062527285,0.7941209659608062,0.06110187868243411,3.129843396307006e-08,0.0006884108150140608
comm14,283,283,3,267,257,0.50954198473282442,6.0187265917602994,6.0,10,10,0.60485376477909147,0.54085603112840464,0.60485376477909136,0.60485376477909136,0.54085603107019897,0.54085603107019897,0.0,0.0,0.9758077979739842,0.9477375220742741,5.019282435202073e-08,8.708871686909611e-09
comm15,533,549,7,495,430,0.53513513513513511,5.4262626262626261,4.9534883720930232,10,10,0.63775130305286676,0.54788732394366202,0.63775130305286698,0.63775130305286698,0.54788732394366202,0.54953469513699682,0.0,0.008294300959749487,0.9982496004359482,0.3503925980254752,5.742866195972091e-10,1.3945965084373074e-09
comm16,380,406,9,347,333,0.51029411764705879,5.4553314121037468,5.4594594594594597,10,10,0.59323824617010035,0.52475247524752477,0.59323824617010035,0.59323824617010035,0.52475247524455915,0.52475247524455915,0.0,0.0,0.9964726741841249,0.9594110842941691,9.009042520397764e-09,1.4548022259546148e-08
comm17,649,591,6,597,460,0.56480605487228008,5.5611390284757123,5.4326086956521742,10,10,0.62620481927710836,0.52460984393757504,0.62620481927710914,0.62620481927710914,0.52460984393245491,0.52460984393245491,0.0,0.0,0.9533339257574045,0.943881805178359,4.589649271974723e-09,1.1249451838683444e-09
comm18,137,151,2,126,131,0.49027237354085601,5.1984126984126986,5.656488549618321,10,10,0.56641221374045803,0.52631578947368418,0.56641221363676175,0.56641221363676175,0.52631578947363966,0.52631578947363966,0.0,0.0,0.9704051611929735,0.9830255027836353,5.87360819689225e-09,2.913920489958019e-09
comm19,239,255,1,223,226,0.49665924276169265,5.6816143497757849,5.3628318584070795,10,10,0.61878453038674031,0.52145214521452143,0.61878453038674042,0.61878453038674042,0.52145214521151562,0.52145214521151562,0.0,0.0,0.9863394834855111,0.8241226703837516,2.7018897987636772e-09,2.830832903683763e-08
comm2,44,65,0,40,56,0.41666666666666669,4.3250000000000002,4.5,10,10,0.65317919075144515,0.57539682539682546,0.65317919075144493,0.65317919075144493,0.57539682539682546,0.58112531246519117,0.0,0.04228874428203501,0.6359682506653882,0.259151079393274,4.0274097456431554e-08,1.1203479777094299e-08
comm20,464,454,5,440,411,0.51703877790834307,5.9931818181818182,5.7323600973236006,10,10,0.62646947288585508,0.56112054329371819,0.62646947288585475,0.62646947288585475,0.56112054329371808,0.56112054329371808,0.0,0.0,0.9792144796689264,0.9298209779260603,7.849473459566939e-09,3.320574621167252e-08
comm21,201,177,2,190,155,0.55072463768115942,5.4105263157894736,5.6387096774193548,10,10,0.64494163424124518,0.57665903890160186,0.64494163424124473,0.64494163424124473,0.57665903890160186,0.57703212211237898,0.0,0.0017289388209481575,0.5307119111270862,0.4647397277081512,1.376103686830445e-07,1.6809645592877044e-09
comm22,290,330,6,264,275,0.48979591836734693,5.1515151515151514,5.2763636363636364,10,10,0.63455882352941184,0.61612680909717432,0.63455882352941129,0.63455882352941129,0.61612680909717421,0.62221417112940869,0.0,0.021878134880286018,0.725122705242691,0.1835399808919176,4.468020241115587e-08,7.427667284733401e-08
comm23,309,369,1,291,324,0.47317073170731705,6.0549828178694156,5.5802469135802468,10,10,0.59250851305334851,0.54314159292035402,0.59250851305334828,0.59250851305334828,0.54314159289576891,0.54314159289576891,0.0,0.0,0.9906409680234983,0.825500160850938,3.7293665039251234e-09,7.409095267183346e-09
comm24,450,423,3,408,345,0.54183266932270913,4.3725490196078427,4.6434782608695651,10,10,0.62556053811659196,0.54244694132334581,0.62556053811659196,0.62556053811659196,0.5424469412727686,0.54366062492674672,0.0,0.006674353645409003,0.6144881777830165,0.3946907972082425,1.0847826785264442e-07,1.1513667730556849e-07
comm25,418,408,2,337,296,0.53238546603475512,4.1632047477744809,4.2331081081081079,10,10,0.60441910192444759,0.54110135674381488,0.60441910192444792,0.60441910192444792,0.54110135672888771,0.54110135672888771,0.0,0.0,0.9759138060472935,0.8936298861926143,2.062103673652316e-09,7.032883704807546e-09
comm26,299,260,4,256,216,0.5423728813559322,4.67578125,5.0231481481481479,10,10,0.64243943191311614,0.56036866359447013,0.64243943191311603,0.64243943191311603,0.56036866359447002,0.56230983672280199,0.0,0.011430862093718434,0.680208530218911,0.34242415336810406,1.2637108555205507e-09,4.2661104727640233e-07
comm27,2,1225,2,,,,,,10,10,,,,,,,,,,,,
comm28,579,580,9,519,480,0.51951951951951947,5.1406551059730248,5.1083333333333334,10,10,0.64767616191904054,0.55097879282218598,0.64767616191903987,0.64767616191903987,0.55097879282218609,0.55603557723424124,0.0,0.03420934411186167,0.587413953717316,0.053323668804395985,1.267632374640155e-07,3.65020510214867e-08
